ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,base_name
018865.OF,泓德数字经济A,混合型,混合型-偏股,-2.34,-5.63,6.66,15.71,13.89,0.3,455,4283.0,17.93790724415485,1446.0,72.34978951396862,61.3,泓德数字经济
018029.OF,泓德新能源产业A,混合型,混合型-偏股,0.06,-3.33,6.81,16.17,13.29,0.3,455,3674.0,29.60904561134534,1426.0,72.73249138920781,62.0,泓德新能源产业
019982.OF,泓德智选启元A,混合型,混合型-偏股,1.13,0.03,11.11,12.33,10.13,0.74,455,1666.0,68.09122269068608,740.0,85.85916570991198,78.1,泓德智选启元
020567.OF,泓德智选启航A,混合型,混合型-偏股,0.21,0.04,7.21,10.62,9.74,0.49,455,1654.0,68.32119586048294,1346.0,74.26329889016456,69.6,泓德智选启航
021726.OF,泓德智选启诚A,混合型,混合型-偏股,0.27,0.15,7.35,9.24,5.73,0.58,416,1544.0,70.42928325028747,1317.0,74.81821660926138,73.9,泓德智选启诚
021965.OF,泓德智选启鑫A,混合型,混合型-偏股,1.41,0.31,9.36,11.3,9.59,0.65,454,1404.0,73.11230356458414,979.0,81.28587830080367,75.1,泓德智选启鑫
022224.OF,泓德智选领航A,混合型,混合型-偏股,-1.0,-0.53,1.68,9.72,9.05,-0.03,455,2221.0,57.454963587581446,3260.0,37.63872942977421,61.1,泓德智选领航
017663.OF,泓德汽车产业升级A,混合型,混合型-偏股,4.07,6.04,7.94,13.75,11.85,0.43,427,194.0,96.30126485243387,1223.0,76.61691542288558,67.1,泓德汽车产业升级
022708.OF,泓德泓益C,混合型,混合型-偏股,-1.05,-0.53,3.28,10.06,8.95,0.13,455,2228.0,57.32081257186661,2483.0,52.50669728281668,57.3,泓德泓益
012107.OF,泓德瑞嘉三年持有A,混合型,混合型-偏股,-2.02,-3.58,5.54,13.18,14.89,0.27,455,3746.0,28.229206592564204,1718.0,67.14504401071567,58.7,泓德瑞嘉
011783.OF,泓德睿源三年持有,灵活配置型,混合型-平衡,-5.69,-8.18,-3.65,12.98,12.88,-0.44,455,427.0,9.936575052854124,439.0,7.3995771670190225,49.5,泓德睿源
012193.OF,泓德睿诚A,灵活配置型,混合型-平衡,-3.11,-2.71,3.45,11.83,11.5,0.12,455,323.0,31.923890063424945,249.0,47.56871035940803,54.9,泓德睿诚
022520.OF,泓德红利优选C,混合型,混合型-偏股,2.73,5.17,9.25,7.7,6.98,0.94,355,250.0,95.2280567267152,998.0,80.92231151932646,81.4,泓德红利优选
017866.OF,泓德高端装备A,混合型,混合型-偏股,0.35,-2.53,4.74,14.1,10.73,0.19,455,3339.0,36.02912993484093,1963.0,62.4569460390356,59.8,泓德高端装备
025637.OF,泰信互联网+C,灵活配置型,混合型-平衡,-0.61,-7.01,-3.6,22.74,19.46,-0.25,166,417.0,12.050739957716704,438.0,7.610993657505283,45.2,泰信互联网+
015034.OF,泰信优势领航A,混合型,混合型-偏股,-11.55,-17.87,-1.32,22.7,22.61,-0.15,455,5199.0,0.3832886163280924,4550.0,12.954458476846542,44.6,泰信优势领航
013469.OF,泰信低碳经济A,混合型,混合型-偏股,3.15,1.31,0.77,28.6,21.1,-0.04,455,884.0,83.0778075891146,3839.0,26.55951014159969,46.1,泰信低碳经济
013072.OF,泰信医疗服务A,混合型,混合型-偏股,-5.59,-8.53,-9.22,25.22,36.22,-0.44,455,4766.0,8.681487159831358,5163.0,1.224646000765406,31.6,泰信医疗服务
013757.OF,泰信均衡价值A,混合型,混合型-偏股,-2.68,-4.45,5.09,13.37,11.02,0.23,455,4001.0,23.342276734380984,1871.0,64.21737466513586,60.8,泰信均衡价值
011273.OF,泰信景气驱动12个月持有A,混合型,混合型-偏股,-1.28,-3.78,4.48,13.0,10.43,0.19,455,3818.0,26.849367573783056,2047.0,60.84959816303099,59.8,泰信景气驱动12个月持有
013266.OF,泰信智选成长C,灵活配置型,混合型-平衡,0.5,1.36,3.82,5.36,3.43,0.34,455,103.0,78.43551797040169,237.0,50.10570824524313,62.6,泰信智选成长
013033.OF,泰信智选量化选股A,混合型,混合型-偏股,-0.3,2.29,14.14,11.71,8.95,1.04,325,603.0,88.46301264852434,414.0,92.09720627631074,87.1,泰信智选量化选股
012294.OF,泰康优势精选三年持有期,混合型,混合型-偏股,0.03,-3.21,2.37,17.61,13.02,0.02,455,3643.0,30.203142966653896,2879.0,44.92920015308075,50.8,泰康优势精选三年持有期
019110.OF,泰康兴泰回报沪港深C,混合型,混合型-偏股,-0.79,-1.29,-1.05,2.65,2.87,-1.15,455,2743.0,47.451130701418165,4498.0,13.949483352468429,43.4,泰康兴泰回报沪港深
017774.OF,泰康养老目标日期2040三年持有,混合型,混合型-偏股,-0.92,-0.77,3.65,6.61,5.28,0.25,440,2416.0,53.71789957838252,2351.0,55.03252965939534,60.0,泰康养老目标日期2040
016325.OF,泰康北交所精选两年定开A,混合型,混合型-偏股,-5.61,-9.86,-11.96,29.61,14.69,-0.47,135,4934.0,5.461862782675353,5202.0,0.4783773440489858,42.0,泰康北交所精选两年定开
015139.OF,泰康医疗健康A,股票型,主动股票型,-5.73,-9.37,3.14,16.3,19.98,0.07,455,507.0,12.456747404844291,352.0,39.273356401384085,45.6,泰康医疗健康
020476.OF,泰康半导体量化选股A,股票型,主动股票型,-2.41,-7.66,9.08,23.52,16.44,0.3,455,455.0,21.45328719723183,163.0,71.97231833910034,58.0,泰康半导体量化选股
011767.OF,泰康合润A,混合型,混合型-偏股,-0.4,-0.46,1.69,2.56,2.16,-0.12,455,2151.0,58.79647374472978,3258.0,37.67699961729812,59.6,泰康合润
018037.OF,泰康宏泰回报C,混合型,混合型-偏股,-0.66,0.11,0.21,2.15,1.93,-0.83,455,1589.0,69.56688386354925,4152.0,20.57022579410639,46.4,泰康宏泰回报
024164.OF,泰康招享D,混合型,混合型-偏股,-0.42,-0.52,1.17,1.62,1.43,-0.51,338,2210.0,57.66577232656191,3573.0,31.649445082280906,54.5,泰康招享
014287.OF,泰康新锐成长A,混合型,混合型-偏股,-2.73,-3.48,1.24,16.59,17.58,-0.05,455,3722.0,28.689152932157917,3517.0,32.72101033295063,54.1,泰康新锐成长
010081.OF,泰康浩泽A,混合型,混合型-偏股,-1.87,-0.75,0.4,4.5,5.1,-0.36,455,2405.0,53.928708317362975,4068.0,22.177573670110984,52.4,泰康浩泽
014416.OF,泰康研究精选A,股票型,主动股票型,0.44,-0.94,5.36,20.81,15.2,0.16,455,200.0,65.57093425605535,279.0,51.903114186851205,53.4,泰康研究精选
017391.OF,泰康福安稳健养老一年持有Y,混合型,混合型-偏股,-0.54,-0.55,1.3,3.07,1.84,-0.23,440,2250.0,56.89919509390571,3489.0,33.256792958285494,57.8,泰康福安稳健养老
017392.OF,泰康福泰平衡养老FOFY,混合型,混合型-偏股,-1.0,-0.75,4.58,6.98,5.72,0.37,440,2403.0,53.96703717899578,2014.0,61.48105625717566,64.1,泰康福泰平衡养老FOF
017393.OF,泰康福泽积极养老目标五年持有Y,混合型,混合型-偏股,-1.61,-1.46,4.5,9.34,8.76,0.27,440,2839.0,45.61134534304331,2040.0,60.98354381936472,61.8,泰康福泽积极养老目标五年持有
024895.OF,泰康资源精选A,股票型,主动股票型,0.6,-1.83,13.58,28.84,13.9,0.4,221,259.0,55.36332179930796,74.0,87.37024221453287,63.6,泰康资源精选
026219.OF,泰康金泰回报3个月持有C,混合型,混合型-偏股,-0.35,0.08,0.67,2.63,0.78,-0.51,62,1616.0,69.04944423150631,3895.0,25.48794489092997,53.4,泰康金泰回报3个月持有
012292.OF,泰康鼎泰一年持有A,混合型,混合型-偏股,-0.46,-0.69,-0.38,1.29,1.2,-1.85,455,2361.0,54.77194327328478,4342.0,16.934557979334098,43.2,泰康鼎泰
