ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,scale_status,pass_performance,pass_quality,veto,is_core,is_watch,is_backup,fund_scale,high_quality
026285.OF,东方红嘉享C,混合型,混合型-偏股,2.66,4.09,11.46,28.19,8.22,0.34,39,336.0,93.5799156765044,698.0,86.66283964791428,67.7,watch,False,False,False,False,False,False,3.613231974450808,False
026284.OF,东方红嘉享A,混合型,混合型-偏股,2.7,4.15,11.57,28.18,8.2,0.34,39,327.0,93.75239555385204,681.0,86.98813624186758,67.8,preferred,False,False,False,False,False,False,17.76262976781236,False
025325.OF,富达任远保守养老目标一年持有,混合型,混合型-偏股,-0.21,0.11,0.6,3.57,1.24,-0.39,37,1591.0,69.52855500191643,3941.0,24.607730577879828,54.0,watch,False,False,False,False,False,False,4.097475733606177,False
026472.OF,益民创新优势C,混合型,混合型-偏股,-5.44,-7.54,1.95,15.17,8.0,0.0,46,4622.0,11.441165197393632,3086.0,40.96823574435516,52.4,watch,True,False,False,False,False,True,2.2372234335227894,False
025987.OF,东海领航精选3个月持有D,混合型,混合型-偏股,-1.48,-1.27,-0.64,4.93,1.62,-0.54,43,2731.0,47.68110387121502,4417.0,15.49942594718714,49.4,normal,False,False,False,False,False,False,70.72354347027537,False
025986.OF,东海领航精选3个月持有C,混合型,混合型-偏股,-1.5,-1.32,-0.75,4.93,1.63,-0.56,43,2769.0,46.952855500191646,4445.0,14.963643321852285,49.1,preferred,True,False,False,False,False,False,9.291206724791897,False
025985.OF,东海领航精选3个月持有A,混合型,混合型-偏股,-1.48,-1.27,-0.65,4.93,1.62,-0.54,43,2729.0,47.71943273284784,4420.0,15.442020665901268,49.4,preferred,False,False,False,False,False,False,13.210789018438389,False
026273.OF,平安数字经济精选A,混合型,混合型-偏股,-3.8,-13.92,-12.9,31.48,20.99,-0.47,42,5144.0,1.4373323112303549,5211.0,0.3061615001913487,36.8,watch,True,False,False,False,False,True,2.2040623415796867,False
025257.OF,汇添富多元配置三个月持有A,混合型,混合型-偏股,-0.13,0.25,1.56,5.28,1.84,-0.08,38,1452.0,72.1924108853967,3332.0,36.26100267891312,61.5,preferred,False,False,False,False,False,False,6.339124900244744,False
026188.OF,中邮周期精选C,混合型,混合型-偏股,2.62,0.76,11.33,35.07,9.53,0.27,39,1116.0,78.6316596397087,714.0,86.35667814772292,63.3,preferred,False,False,False,False,False,False,13.916944237672663,False
026274.OF,平安数字经济精选C,混合型,混合型-偏股,-3.81,-13.96,-12.96,31.49,21.03,-0.48,42,5146.0,1.3990034495975467,5212.0,0.2870264064293915,36.7,watch,True,False,False,False,False,True,3.0612021769413413,False
025258.OF,汇添富多元配置三个月持有C,混合型,混合型-偏股,-0.16,0.2,1.48,5.26,1.84,-0.1,38,1498.0,71.31084706784209,3387.0,35.208572522005355,60.9,preferred,False,False,False,False,False,False,19.121964000030264,False
025368.OF,东财启和A,混合型,混合型-偏股,0.03,0.16,0.17,0.25,0.03,-7.35,31,1538.0,70.54426983518589,4162.0,20.3788748564868,44.0,preferred,False,False,False,False,False,False,5.925313352362475,False
025369.OF,东财启和C,混合型,混合型-偏股,0.01,0.12,0.11,0.24,0.04,-7.96,31,1579.0,69.75852817171331,4190.0,19.84309223115194,43.6,preferred,False,False,False,False,False,False,8.584579395943374,False
026332.OF,广发盛世精选A,混合型,混合型-偏股,-0.24,5.59,14.3,31.22,5.81,0.39,48,225.0,95.70716749712534,403.0,92.3076923076923,71.4,preferred,False,True,False,False,True,False,5.917724886544682,False
026187.OF,中邮周期精选A,混合型,混合型-偏股,2.68,0.86,11.48,35.1,9.51,0.27,39,1073.0,79.45573016481411,697.0,86.68197474167624,63.4,watch,False,False,False,False,False,False,112.47532018118116,False
026333.OF,广发盛世精选C,混合型,混合型-偏股,-0.27,5.51,14.17,31.22,5.83,0.39,48,230.0,95.61134534304333,412.0,92.13547646383468,71.4,preferred,False,True,False,False,True,False,11.986767467515481,False
024590.OF,中欧港股通机遇A,混合型,混合型-偏股,-8.71,-6.93,-4.04,18.27,10.74,-0.33,41,4517.0,13.453430433116132,4868.0,6.869498660543439,52.2,watch,True,False,False,False,False,True,3.4237857566600005,False
026081.OF,财通资管优质研选A,混合型,混合型-偏股,-0.06,-1.03,0.86,21.23,5.64,-0.05,33,2592.0,50.34495975469528,3772.0,27.841561423650973,58.8,preferred,False,False,False,False,False,False,32.68949898995947,False
024591.OF,中欧港股通机遇C,混合型,混合型-偏股,-8.72,-6.95,-4.11,18.27,10.75,-0.33,41,4520.0,13.395937140666923,4875.0,6.735553004209716,52.1,watch,True,False,False,False,False,True,2.8150713849224833,False
026082.OF,财通资管优质研选C,混合型,混合型-偏股,-0.09,-1.08,0.78,21.2,5.64,-0.06,33,2616.0,49.885013415101575,3829.0,26.75086107921929,58.5,preferred,False,False,False,False,False,False,15.652588677429732,False
026420.OF,大摩多因子策略C,混合型,混合型-偏股,-0.95,-2.82,9.03,17.06,6.17,0.41,50,3474.0,33.4419317746263,1032.0,80.27171833141983,72.6,watch,False,True,False,False,True,False,1.1599719819605279,False
025834.OF,博时集益多元配置3个月持有A,混合型,混合型-偏股,1.34,1.38,3.44,13.78,4.76,0.1,44,857.0,83.59524722115754,2424.0,53.63566781477229,58.7,watch,False,False,False,False,False,False,2.4748424596346896,False
025837.OF,博时集益多元配置3个月持有C,混合型,混合型-偏股,1.3,1.32,3.34,13.76,4.76,0.1,44,882.0,83.11613645074742,2458.0,52.98507462686567,58.5,preferred,False,False,False,False,False,False,15.428762820786607,False
026421.OF,大摩ESG量化先行C,混合型,混合型-偏股,-1.79,-5.14,3.69,17.22,6.22,0.1,50,4197.0,19.586048294365654,2335.0,55.33869115958668,58.3,preferred,True,False,False,False,False,False,29.552250381492083,False
026167.OF,国泰港股通精选A,混合型,混合型-偏股,-9.87,-8.63,-5.47,20.92,12.78,-0.36,38,4784.0,8.336527405136064,4966.0,4.994259471871409,49.6,preferred,True,False,False,False,False,False,14.963919507993545,False
026168.OF,国泰港股通精选C,混合型,混合型-偏股,-9.89,-8.68,-5.55,20.89,12.81,-0.36,38,4793.0,8.164047527788421,4974.0,4.841178721775741,49.6,preferred,True,False,False,False,False,False,10.603902154239977,False
