ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
021790.OF,华宝宝嘉30天持有A,债券型,债券型-主动,0.12,0.2,0.27,0.35,0.38,-4.97,455
021695.OF,国寿安保泰宁利率债,债券型,债券型-主动,0.16,0.43,0.63,1.04,0.94,-1.31,454
021883.OF,南方宝元债券E,债券型,债券型-主动,0.42,1.57,3.89,3.68,2.87,0.51,455
020575.OF,华泰柏瑞安诚6个月持有A,债券型,债券型-主动,-0.28,-0.13,0.53,2.82,1.93,-0.52,455
020576.OF,华泰柏瑞安诚6个月持有C,债券型,债券型-主动,-0.3,-0.17,0.46,2.82,1.96,-0.54,455
015434.OF,金元顺安鼎泰A,债券型,债券型-主动,1.5,2.37,3.42,2.01,1.59,0.71,455
015435.OF,金元顺安鼎泰C,债券型,债券型-主动,1.48,2.34,3.36,2.01,1.63,0.68,455
021618.OF,嘉实致华纯债C,债券型,债券型-主动,0.11,0.35,0.75,1.32,2.25,-0.95,455
021776.OF,华安月月丰30天持有A,债券型,债券型-主动,0.14,0.24,0.32,0.28,0.12,-5.93,455
021777.OF,华安月月丰30天持有C,债券型,债券型-主动,0.12,0.21,0.28,0.28,0.11,-6.14,455
021888.OF,光大永利纯债D,债券型,债券型-主动,0.12,0.28,0.4,3.16,4.76,-0.51,455
021841.OF,海富通集利C,债券型,债券型-主动,-1.05,-1.16,2.1,2.7,3.06,0.04,454
020212.OF,兴华安启纯债C,债券型,债券型-主动,0.12,0.37,0.23,2.27,4.05,-0.78,455
020211.OF,兴华安启纯债A,债券型,债券型-主动,0.13,0.39,0.27,2.27,3.95,-0.76,455
021868.OF,上银慧臻利率债C,债券型,债券型-主动,0.11,0.33,0.13,1.4,2.22,-1.34,455
021869.OF,上银慧鼎利C,债券型,债券型-主动,0.19,0.4,0.74,0.69,0.91,-1.83,455
021237.OF,合煦智远嘉悦利率债A,债券型,债券型-主动,0.1,0.28,0.5,7.15,17.77,-0.21,455
021850.OF,广发景益C,债券型,债券型-主动,0.17,0.41,0.68,0.55,0.93,-2.4,455
021238.OF,合煦智远嘉悦利率债C,债券型,债券型-主动,0.08,0.25,0.46,0.23,0.12,-6.7,455
021863.OF,招商安和E,债券型,债券型-主动,0.12,0.48,1.2,0.99,0.81,-0.81,455
021704.OF,信澳稳宁30天滚动持有C,债券型,债券型-主动,0.05,0.13,0.28,0.52,0.42,-3.29,455
021703.OF,信澳稳宁30天滚动持有A,债券型,债券型-主动,0.06,0.16,0.32,0.52,0.38,-3.22,455
021783.OF,路博迈中高等级信用债C,债券型,债券型-主动,0.12,0.28,0.57,0.52,0.84,-2.78,455
021846.OF,创金合信聚鑫E,债券型,债券型-主动,-0.6,-3.3,-0.48,4.57,4.06,-0.54,455
021782.OF,路博迈中高等级信用债A,债券型,债券型-主动,0.11,0.27,0.57,0.51,0.83,-2.8,455
020913.OF,东兴鑫颐3个月滚动持有纯债A,债券型,债券型-主动,0.1,0.42,0.82,1.55,1.4,-0.76,455
020708.OF,中加瑞利纯债D,债券型,债券型-主动,0.22,0.42,0.69,4.78,9.12,-0.27,455
020914.OF,东兴鑫颐3个月滚动持有纯债C,债券型,债券型-主动,0.08,0.38,0.76,1.55,1.44,-0.8,455
021785.OF,国泰润利纯债C,债券型,债券型-主动,0.14,0.22,0.42,0.16,0.04,-9.92,455
021808.OF,国泰聚享纯债C,债券型,债券型-主动,0.16,0.29,0.62,1.7,2.96,-0.82,455
021769.OF,海富通瑞福D,债券型,债券型-主动,0.14,0.34,0.64,0.49,0.59,-2.78,454
021742.OF,光大超短债E,债券型,债券型-主动,0.1,0.17,0.26,0.13,0.04,-13.76,455
021837.OF,南方皓元短债D,债券型,债券型-主动,0.14,0.23,0.31,0.2,0.06,-8.37,455
021807.OF,财通资管鸿运中短债I,债券型,债券型-主动,0.13,0.21,0.3,0.67,0.62,-2.52,455
021772.OF,汇添富双利增强D,债券型,债券型-主动,-0.27,-0.26,1.27,4.67,2.98,-0.16,455
021774.OF,农银汇理双利回报D,债券型,债券型-主动,-0.51,-0.61,1.09,1.5,1.04,-0.61,455
021754.OF,富国颐利纯债C,债券型,债券型-主动,0.14,0.34,0.4,1.48,3.37,-1.08,455
021767.OF,海富通中短债D,债券型,债券型-主动,0.15,0.31,0.53,0.24,0.14,-6.0,454
021452.OF,富国绿色纯债C,债券型,债券型-主动,0.27,0.54,0.83,0.46,0.79,-2.54,455
021775.OF,招商金鸿D,债券型,债券型-主动,-0.49,-0.45,1.99,2.95,3.53,-0.0,455
020351.OF,农银金瑞利率债,债券型,债券型-主动,0.17,0.24,0.3,1.53,1.9,-1.11,455
021530.OF,路博迈安航90天持有A,债券型,债券型-主动,-0.13,-0.11,0.5,1.06,1.27,-1.42,455
021531.OF,路博迈安航90天持有C,债券型,债券型-主动,-0.15,-0.13,0.46,1.06,1.28,-1.46,455
021806.OF,汇安中短债F,债券型,债券型-主动,0.1,0.2,0.32,1.96,2.62,-0.86,455
021781.OF,南方交元C,债券型,债券型-主动,0.2,0.57,1.02,0.67,0.98,-1.46,455
021445.OF,华安鸿福利率债,债券型,债券型-主动,0.11,0.3,0.32,0.74,0.95,-2.26,455
021764.OF,永赢安怡30天持有E,债券型,债券型-主动,0.12,0.24,0.48,0.27,0.08,-5.72,455
