ts_code,name,invest_type,category
018512.OF,东方红欣和积极3个月持有C,混合型,混合型-偏股
018956.OF,中航机遇领航A,混合型,混合型-偏股
018511.OF,东方红欣和积极3个月持有A,混合型,混合型-偏股
018957.OF,中航机遇领航C,混合型,混合型-偏股
018987.OF,富安达科技领航C,混合型,混合型-偏股
018583.OF,华泰紫金碳中和C,混合型,混合型-偏股
018582.OF,华泰紫金碳中和A,混合型,混合型-偏股
017608.OF,汇添富远景成长一年持有A,混合型,混合型-偏股
017609.OF,汇添富远景成长一年持有C,混合型,混合型-偏股
018720.OF,国联添安稳健养老一年持有Y,混合型,混合型-偏股
018456.OF,建信开元耀享9个月持有C,混合型,混合型-偏股
017962.OF,广发医药创新A,混合型,混合型-偏股
018876.OF,兴合先进制造A,混合型,混合型-偏股
017963.OF,广发医药创新C,混合型,混合型-偏股
018455.OF,建信开元耀享9个月持有A,混合型,混合型-偏股
018877.OF,兴合先进制造C,混合型,混合型-偏股
018788.OF,中信建投臻选成长A,混合型,混合型-偏股
018789.OF,中信建投臻选成长C,混合型,混合型-偏股
018888.OF,银河主题策略C,混合型,混合型-偏股
018870.OF,银河产业动力C,混合型,混合型-偏股
018995.OF,景顺长城中国回报C,灵活配置型,混合型-平衡
018980.OF,富国优化增强E,稳健增长型,主动股票型
018485.OF,财通资管医疗保健C,混合型,混合型-偏股
018484.OF,财通资管医疗保健A,混合型,混合型-偏股
018998.OF,景顺长城研究精选C,股票型,主动股票型
018554.OF,交银启嘉A,混合型,混合型-偏股
018555.OF,交银启嘉C,混合型,混合型-偏股
018620.OF,兴全兴晨六个月持有A,混合型,混合型-偏股
018948.OF,东方红睿满沪港深C,灵活配置型,混合型-平衡
017396.OF,英大延福养老目标2045三年持有,混合型,混合型-偏股
017394.OF,英大延福养老目标2050三年持有,混合型,混合型-偏股
018848.OF,中海信息产业精选C,混合型,混合型-偏股
018963.OF,国泰海通量化选股D,混合型,混合型-偏股
018621.OF,兴全兴晨六个月持有C,混合型,混合型-偏股
017917.OF,浙商汇金卓越稳健3个月持有A,混合型,混合型-偏股
017266.OF,招商瑞成1年持有C,混合型,混合型-偏股
017228.OF,易方达汇裕积极养老目标五年持有A,混合型,混合型-偏股
017918.OF,浙商汇金卓越稳健3个月持有C,混合型,混合型-偏股
018694.OF,大成智惠量化多策略C,灵活配置型,混合型-平衡
017265.OF,招商瑞成1年持有A,混合型,混合型-偏股
017453.OF,浦银安盛颐璇平衡养老目标三年持有A,混合型,混合型-偏股
018651.OF,信澳通合稳健三个月持有A,混合型,混合型-偏股
018652.OF,信澳通合稳健三个月持有C,混合型,混合型-偏股
018889.OF,银河现代服务主题C,灵活配置型,混合型-平衡
014731.OF,华富荣盛一年持有C,混合型,混合型-偏股
014730.OF,华富荣盛一年持有A,混合型,混合型-偏股
018871.OF,银河乐活优萃C,混合型,混合型-偏股
018872.OF,银河量化优选C,混合型,混合型-偏股
018837.OF,广发养老目标2060五年持有A,混合型,混合型-偏股
017696.OF,易方达养老目标日期2050五年持有A,混合型,混合型-偏股
018240.OF,嘉实制造升级A,股票型,主动股票型
018241.OF,嘉实制造升级C,股票型,主动股票型
018494.OF,西部利得汇鑫6个月持有C,混合型,混合型-偏股
018493.OF,西部利得汇鑫6个月持有A,混合型,混合型-偏股
