ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
021062.OF,宏利市值优选C,混合型,混合型-偏股,39.76058101821711,preferred,1.08,2.37,7.61,70.4,88.65465695668838,75.66016073478761,,False,True,False
020658.OF,信澳红利智选C,混合型,混合型-偏股,18.010511864274076,preferred,0.44,2.96,6.44,71.1,90.80107320812571,71.23995407577497,,False,True,False
020657.OF,信澳红利智选A,混合型,混合型-偏股,15.382971669450177,preferred,0.48,3.03,6.57,71.8,90.93522422384056,71.96708763872944,,False,True,False
019337.OF,万家国企动力C,混合型,混合型-偏股,18.286820555332085,preferred,3.56,7.85,24.15,86.7,97.585281717133,98.43092231151932,,False,True,False
019336.OF,万家国企动力A,混合型,混合型-偏股,8.54646979175669,preferred,3.61,7.92,24.25,86.7,97.6236105787658,98.45005740528129,,False,True,False
018901.OF,招商回报优选A,混合型,混合型-偏股,59.211574781106656,normal,-2.12,-3.78,13.09,72.1,26.830203142966656,90.3750478377344,,False,True,False
018902.OF,招商回报优选C,混合型,混合型-偏股,3.64060152335394,watch,-2.17,-3.85,12.94,71.7,26.29359908010732,90.12629161882892,,False,True,False
020969.OF,中信保诚全球商品主题C,混合型,混合型-偏股,23.478386671412764,preferred,-0.1,1.62,9.59,70.0,85.26255270218475,81.87906620742442,,False,True,False
020653.OF,恒生前海兴泰A,混合型,混合型-偏股,7.84448475447618,preferred,2.46,4.61,6.02,70.1,94.3848217707934,69.5752009184845,,False,True,False
020722.OF,国寿安保数字经济A,股票型,主动股票型,7.613250538994523,preferred,7.0,23.42,28.46,76.3,100.0,99.65397923875432,,False,True,False
020723.OF,国寿安保数字经济C,股票型,主动股票型,4.02734672646749,watch,6.97,23.36,28.35,76.2,99.82698961937716,99.48096885813148,,False,True,False
018822.OF,银华新材料C,混合型,混合型-偏股,24.63165887744283,preferred,-0.85,-2.87,10.31,71.7,33.0586431582982,84.04133180252583,,False,True,False
018821.OF,银华新材料A,混合型,混合型-偏股,6.890306798049163,preferred,-0.83,-2.83,10.4,71.8,33.40360291299348,84.23268274014542,,False,True,False
019690.OF,华商产业机遇A,混合型,混合型-偏股,14.177489998481164,preferred,-0.31,3.69,12.9,71.9,92.7366807205826,90.04975124378109,,False,True,False
019691.OF,华商产业机遇C,混合型,混合型-偏股,3.6678380836719455,watch,0.02,4.01,13.19,72.3,93.38827136834036,90.60466896287792,,False,True,False
020469.OF,长城半导体产业A,混合型,混合型-偏股,46.13813402548232,preferred,1.54,-0.29,21.78,77.1,61.26868532004599,97.9716800612323,,False,True,False
020470.OF,长城半导体产业C,混合型,混合型-偏股,27.305508037164497,preferred,1.51,-0.35,21.62,76.8,60.44461479494059,97.8760045924225,,False,True,False
020151.OF,中信保诚景气优选A,混合型,混合型-偏股,10.389955315093458,preferred,0.48,3.07,14.63,89.3,91.01188194710616,92.61385380788366,,False,True,False
020152.OF,中信保诚景气优选C,混合型,混合型-偏股,3.783179654185573,watch,0.44,3.0,14.49,89.0,90.91605979302416,92.51817833907388,,False,True,False
020795.OF,易方达养老目标日期2055五年持有Y,混合型,混合型-偏股,45.99334918698577,preferred,1.85,2.42,10.09,72.0,88.86546569566885,83.33333333333334,,False,True,False
020305.OF,信澳星煜智选A,混合型,混合型-偏股,6.408377872248719,preferred,0.51,-0.5,11.23,70.2,57.93407435799156,86.14619211634137,,False,True,False
020726.OF,建信灵活配置C,灵活配置型,混合型-平衡,18.14466170809625,preferred,-0.3,1.86,13.3,75.2,81.18393234672304,88.16067653276956,34.9625,False,True,False
019773.OF,东方红智享三年持有A,混合型,混合型-偏股,15.31143011364915,preferred,6.99,7.33,10.78,70.2,97.31697968570332,85.03635667814773,,False,True,False
018705.OF,财通鼎欣量化选股18个月定开,混合型,混合型-偏股,7.224054463396967,preferred,-0.13,0.36,9.48,84.1,73.97470295132234,81.47722923842326,,False,True,False
019343.OF,富国价值发现C,混合型,混合型-偏股,29.564448552619567,preferred,-3.19,1.68,10.8,76.9,85.56918359524722,85.07462686567165,,False,True,False
019342.OF,富国价值发现A,混合型,混合型-偏股,44.84349501988186,preferred,-3.16,1.76,10.94,77.2,85.97163664239173,85.34251817833908,,False,True,False
018999.OF,万家趋势领先A,混合型,混合型-偏股,94.89168157127834,normal,1.25,2.04,24.69,80.9,87.29398236872366,98.52659778032913,,False,True,False
019000.OF,万家趋势领先C,混合型,混合型-偏股,9.9484218661291,preferred,1.23,2.0,24.49,80.6,87.14066692219241,98.50746268656717,,False,True,False
020304.OF,信澳星亮智选C,混合型,混合型-偏股,27.47977785485711,preferred,-0.05,0.93,12.35,78.0,80.14564967420468,88.92078071182549,,False,True,False
020303.OF,信澳星亮智选A,混合型,混合型-偏股,5.557282224686764,preferred,-0.01,1.0,12.47,78.3,80.75891146032963,89.07386146192117,,False,True,False
020560.OF,万家高端装备量化选股A,混合型,混合型-偏股,2.2533523565201543,watch,0.42,-1.9,12.8,72.1,41.337677270985054,89.78185993111366,,False,True,False
020561.OF,万家高端装备量化选股C,混合型,混合型-偏股,11.026189568098037,preferred,0.39,-1.95,12.69,71.9,40.76274434649291,89.51396861844623,,False,True,False
018550.OF,金鹰研究驱动C,混合型,混合型-偏股,4.940232096984015,watch,-0.29,2.41,13.01,72.7,88.76964354158682,90.26023727516264,,False,True,False
018549.OF,金鹰研究驱动A,混合型,混合型-偏股,27.26511624082727,preferred,-0.25,2.47,13.14,73.1,88.98045228056726,90.50899349406812,,False,True,False
020487.OF,华富成长企业精选C,股票型,主动股票型,11.327201250906162,preferred,4.84,4.49,18.31,76.2,92.73356401384083,93.07958477508652,,False,True,False
020488.OF,华富量子生命力C,混合型,混合型-偏股,1.3996642528860823,watch,-0.35,0.53,15.1,74.5,76.54273668072058,93.62801377726753,,False,True,False
019115.OF,东财卓越成长A,混合型,混合型-偏股,4.181078926013883,watch,-12.45,-7.38,20.22,70.0,11.862782675354543,97.39762724837352,,False,True,False
020276.OF,银河新材料A,股票型,主动股票型,10.407135113225433,preferred,3.63,-1.32,15.58,72.4,60.553633217993074,90.13840830449828,,False,True,False
020360.OF,中海混改红利主题C,灵活配置型,混合型-偏股,9.30147343825038,preferred,4.18,5.72,32.27,91.1,94.29175475687104,99.36575052854124,207.675,False,True,False
020277.OF,银河新材料C,股票型,主动股票型,20.70403853359189,preferred,3.6,-1.39,15.46,72.0,59.51557093425605,89.61937716262976,,False,True,False
018698.OF,国投瑞银盛煊A,混合型,混合型-偏股,16.116754088297153,preferred,2.65,5.93,15.52,78.7,96.09045611345344,94.04898584003062,,False,True,False
018699.OF,国投瑞银盛煊C,混合型,混合型-偏股,17.19380248488645,preferred,2.61,5.86,15.38,78.4,96.03296282100422,93.89590508993494,,False,True,False
018750.OF,山证资管精选行业A,混合型,混合型-偏股,5.842011371265003,preferred,7.46,5.97,32.36,83.6,96.18627826753546,99.63643321852275,,False,True,False
018751.OF,山证资管精选行业C,混合型,混合型-偏股,18.799010401780915,preferred,7.58,6.86,33.75,85.3,96.89536220774244,99.8086490623804,,False,True,False
020383.OF,华富成长趋势C,混合型,混合型-偏股,3.549439951456736,watch,3.08,7.15,23.66,78.8,97.10617094672288,98.3926521239954,,False,True,False
020065.OF,西部利得科技创新C,混合型,混合型-偏股,3.289844449070478,watch,-4.11,-9.86,23.23,76.0,5.481027213491762,98.22043628013776,,False,True,False
020064.OF,西部利得科技创新A,混合型,混合型-偏股,7.441131007692243,preferred,-4.09,-9.82,23.33,76.1,5.557684936757379,98.2587064676617,,False,True,False
019561.OF,富国致航量化选股A,股票型,主动股票型,8.161407258797563,preferred,0.67,-0.48,11.99,76.9,68.68512110726644,82.52595155709342,,False,True,False
019562.OF,富国致航量化选股C,股票型,主动股票型,49.786783891433714,preferred,0.64,-0.55,11.85,76.5,67.82006920415225,82.17993079584775,,False,True,False
020206.OF,民生加银双核动力C,混合型,混合型-偏股,177.24982452594082,watch,6.78,-0.99,27.78,84.3,50.824070525105405,99.34940681209338,,False,True,False
020199.OF,万家双引擎C,灵活配置型,混合型-偏股,9.95651805594652,preferred,7.01,10.07,32.85,92.9,98.09725158562368,99.57716701902748,214.60000000000002,False,True,False
019371.OF,富国远见精选三年定开,混合型,混合型-偏股,6.913605673080668,preferred,6.11,4.52,8.06,74.7,94.26983518589498,76.92307692307692,,False,True,False
019821.OF,鹏华远见精选C,混合型,混合型-偏股,16.51860949909788,preferred,8.55,11.23,26.76,83.1,98.96512073591414,99.11978568694988,,False,True,False
019820.OF,鹏华远见精选A,混合型,混合型-偏股,7.818303573962175,preferred,8.59,11.32,26.9,83.3,98.98428516673054,99.1580558744738,,False,True,False
018973.OF,华商科创板量化选股A,混合型,混合型-偏股,19.154170501683403,preferred,0.69,12.19,14.79,70.6,99.1759294748946,92.93915040183695,,False,True,False
018974.OF,华商科创板量化选股C,混合型,混合型-偏股,11.453868482744578,preferred,0.67,12.14,14.73,70.3,99.1376006132618,92.7860696517413,,False,True,False
019375.OF,广发睿杰精选A2,混合型,混合型-偏股,1.4511568096989111,watch,0.54,-6.25,19.64,84.9,15.446531238022231,97.05319556065824,,False,True,False
020107.OF,兴业安保优选C,混合型,混合型-偏股,63.391241917915,normal,2.66,-5.4,13.43,73.0,18.646991184361827,90.98737083811712,,False,True,False
019983.OF,泓德智选启元C,混合型,混合型-偏股,26.423630464306925,preferred,1.11,-0.02,11.02,77.7,67.15216558068225,85.55300420972063,,False,True,False
019982.OF,泓德智选启元A,混合型,混合型-偏股,13.565052515580302,preferred,1.13,0.03,11.11,78.1,68.09122269068608,85.85916570991198,,False,True,False
