ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
019838.OF,民生加银品牌蓝筹C,灵活配置型,混合型-平衡,6.66,6.03,21.47,17.17,13.54,1.13,455
019824.OF,国寿安保新材料A,股票型,主动股票型,2.43,4.02,16.64,23.67,28.4,0.62,455
019825.OF,国寿安保新材料C,股票型,主动股票型,2.4,3.96,16.52,23.67,28.42,0.61,455
019965.OF,易方达养老目标日期2050五年持有Y,混合型,混合型-偏股,1.44,1.86,9.21,13.19,11.36,0.55,440
018314.OF,易方达养老目标日期2055五年持有A,混合型,混合型-偏股,1.84,2.39,10.04,14.07,11.68,0.57,440
019966.OF,易方达汇裕积极养老目标五年持有Y,混合型,混合型-偏股,2.02,1.95,10.37,14.24,11.91,0.59,441
019608.OF,华泰紫金稳健养老目标一年持有A,混合型,混合型-偏股,-0.9,-0.55,0.8,2.78,1.76,-0.43,440
019925.OF,华宝竞争优势C,混合型,混合型-偏股,-2.85,-8.0,12.48,24.59,20.35,0.43,455
019904.OF,东方红颐安稳健养老一年持有Y,混合型,混合型-偏股,-0.04,0.29,0.46,1.05,1.18,-1.46,440
018376.OF,金信景气优选C,混合型,混合型-偏股,1.62,-4.42,33.7,23.62,17.28,1.34,455
018375.OF,金信景气优选A,混合型,混合型-偏股,1.64,-4.37,33.8,23.62,17.25,1.35,455
018991.OF,兴银智选消费C,混合型,混合型-偏股,-6.76,-6.62,-2.85,13.07,11.95,-0.37,455
018990.OF,兴银智选消费A,混合型,混合型-偏股,-6.73,-6.56,-2.76,13.07,11.92,-0.36,455
019281.OF,华西优选成长一年持有A,混合型,混合型-偏股,-5.63,-11.25,-2.58,24.66,24.89,-0.19,455
018752.OF,天弘阿尔法优选A,混合型,混合型-偏股,-3.84,-5.12,0.27,13.51,11.55,-0.13,454
018753.OF,天弘阿尔法优选C,混合型,混合型-偏股,-3.87,-5.17,0.19,13.51,11.58,-0.13,454
019114.OF,东财慧心优选C,混合型,混合型-偏股,-5.53,-11.02,2.99,25.19,23.28,0.04,455
019895.OF,天弘新活力C,灵活配置型,混合型-平衡,-2.05,-0.03,-0.63,10.27,10.64,-0.26,454
019245.OF,鹏华易诚积极3个月持有A,混合型,混合型-偏股,1.43,-0.2,1.5,16.06,14.19,-0.03,440
019246.OF,鹏华易诚积极3个月持有C,混合型,混合型-偏股,1.4,-0.24,1.43,16.05,14.21,-0.04,440
019523.OF,景顺长城价值发现A3,混合型,混合型-偏股,-4.49,-7.39,3.0,12.97,10.14,0.08,455
019125.OF,博道红利智航C,股票型,主动股票型,0.85,3.19,7.17,8.88,6.99,0.58,454
019717.OF,南方中小盘成长C,股票型,主动股票型,-0.05,2.14,9.77,9.92,9.21,0.78,455
019113.OF,东财慧心优选A,混合型,混合型-偏股,-5.49,-10.96,2.98,25.19,23.25,0.04,455
019689.OF,南方中国梦C,灵活配置型,混合型-平衡,-2.75,-6.83,0.33,14.42,14.62,-0.12,455
019522.OF,景顺长城价值发现A2,混合型,混合型-偏股,-4.5,-7.4,2.96,12.96,10.15,0.07,455
019521.OF,景顺长城价值发现A1,混合型,混合型-偏股,-4.53,-7.45,2.88,12.97,10.17,0.07,455
019879.OF,万家周期驱动A,股票型,主动股票型,4.06,7.36,25.64,20.19,15.93,1.17,455
019880.OF,万家周期驱动C,股票型,主动股票型,4.02,7.3,25.52,20.19,15.94,1.16,455
018231.OF,易方达全球优质企业美元现汇A,混合型,混合型-偏股,2.64,6.56,15.86,14.9,11.79,0.93,444
019896.OF,天弘惠利C,灵活配置型,混合型-平衡,-0.22,-0.35,1.82,3.01,2.47,-0.06,454
019124.OF,博道红利智航A,股票型,主动股票型,0.87,3.24,7.25,8.88,6.92,0.59,454
018229.OF,易方达全球优质企业A,混合型,混合型-偏股,1.96,5.03,13.36,14.83,11.35,0.77,444
018230.OF,易方达全球优质企业C,混合型,混合型-偏股,1.93,4.97,13.25,14.82,11.38,0.76,444
018232.OF,易方达全球优质企业美元现汇C,混合型,混合型-偏股,2.59,6.51,15.76,14.88,11.81,0.93,444
018052.OF,鹏扬医疗健康A,混合型,混合型-偏股,-3.3,-7.42,-7.96,23.25,32.93,-0.43,455
019894.OF,天弘通利C,混合型,混合型-偏股,-1.36,-3.58,5.75,10.08,8.84,0.37,454
018053.OF,鹏扬医疗健康C,混合型,混合型-偏股,-3.34,-7.5,-8.1,23.25,33.19,-0.43,455
019822.OF,长城稳健成长灵活配置C,灵活配置型,混合型-平衡,-0.34,-2.06,1.77,14.55,11.02,-0.02,455
019401.OF,交银瑞元三年定开,混合型,混合型-偏股,8.12,7.27,14.86,18.52,4.61,0.69,103
019863.OF,招商稳健优选C,股票型,主动股票型,-2.74,-7.77,2.55,27.39,19.35,0.02,455
019900.OF,中欧预见积极养老目标五年持有Y,混合型,混合型-偏股,-3.13,-3.46,0.53,9.32,9.85,-0.16,440
019819.OF,长城品牌优选C,混合型,混合型-偏股,-6.35,-3.65,-6.95,10.78,15.12,-0.83,455
019833.OF,华夏福泽养老目标2035三年持有Y,混合型,混合型-偏股,0.45,1.02,4.9,6.42,5.19,0.45,440
019818.OF,长城健康生活C,灵活配置型,混合型-平衡,-1.4,-4.55,-0.33,18.37,21.24,-0.13,455
019811.OF,华夏养老2055五年Y,混合型,混合型-偏股,1.0,1.02,9.2,12.55,8.6,0.57,440
019277.OF,长城国企优选A,混合型,混合型-偏股,3.02,4.49,16.58,13.44,9.02,1.08,455
019458.OF,平安先进制造主题C,股票型,主动股票型,-6.31,-10.5,2.6,21.29,23.62,0.03,455
019457.OF,平安先进制造主题A,股票型,主动股票型,-6.27,-10.44,2.72,21.29,23.59,0.03,455
019766.OF,国寿安保优选国企C,股票型,主动股票型,-4.8,-1.82,16.77,20.51,15.7,0.72,455
019765.OF,国寿安保优选国企A,股票型,主动股票型,-4.76,-1.76,16.89,20.51,15.64,0.73,455
019415.OF,南方港股医药行业A,混合型,混合型-偏股,-11.11,-11.8,-9.88,25.26,26.49,-0.47,444
019416.OF,南方港股医药行业C,混合型,混合型-偏股,-11.14,-11.86,-10.0,25.25,26.66,-0.48,444
019266.OF,南方港股数字经济C,混合型,混合型-偏股,-7.49,-8.51,-2.88,19.71,23.91,-0.25,444
