ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
019820.OF,鹏华远见精选A,混合型,混合型-偏股,8.59,11.32,26.9,23.08,15.82,1.08,455,54.0,98.98428516673054,45.0,99.15805587447379,83.3,
019838.OF,民生加银品牌蓝筹C,灵活配置型,混合型-平衡,6.66,6.03,21.47,17.17,13.54,1.13,455,24.0,95.13742071881607,15.0,97.04016913319239,86.1,
019879.OF,万家周期驱动A,股票型,主动股票型,4.06,7.36,25.64,20.19,15.93,1.17,455,12.0,98.09688581314879,8.0,98.78892733564014,85.0,
019880.OF,万家周期驱动C,股票型,主动股票型,4.02,7.3,25.52,20.19,15.94,1.16,455,13.0,97.92387543252595,9.0,98.6159169550173,84.8,
018231.OF,易方达全球优质企业美元现汇A,混合型,混合型-偏股,2.64,6.56,15.86,14.9,11.79,0.93,444,174.0,96.68455346876198,289.0,94.48909299655568,83.2,
018232.OF,易方达全球优质企业美元现汇C,混合型,混合型-偏股,2.59,6.51,15.76,14.88,11.81,0.93,444,177.0,96.62706017631277,293.0,94.41255262150786,83.1,
019401.OF,交银瑞元三年定开,混合型,混合型-偏股,8.12,7.27,14.86,18.52,4.61,0.69,103,144.0,97.25948639325412,365.0,93.03482587064677,82.8,
019277.OF,长城国企优选A,混合型,混合型-偏股,3.02,4.49,16.58,13.44,9.02,1.08,455,304.0,94.19317746262936,253.0,95.17795637198623,89.3,
019278.OF,长城国企优选C,混合型,混合型-偏股,3.35,4.79,16.88,13.46,9.05,1.11,455,287.0,94.51897278650824,240.0,95.4267125908917,89.7,
017836.OF,信澳匠心回报C,混合型,混合型-偏股,4.29,4.0,17.02,18.08,10.16,0.83,455,347.0,93.36910693752397,236.0,95.50325296593954,84.2,
019578.OF,摩根全球天然资源C,混合型,混合型-偏股,2.02,5.83,15.59,14.68,13.55,0.93,444,212.0,95.95630509773859,305.0,94.18293149636433,80.8,
017835.OF,信澳匠心回报A,混合型,混合型-偏股,4.33,4.07,17.16,18.09,10.13,0.84,455,341.0,93.48409352242238,231.0,95.59892843474933,84.5,
019197.OF,大成国企改革C,灵活配置型,混合型-平衡,6.2,8.96,29.66,17.93,13.26,1.54,455,15.0,97.04016913319239,5.0,99.15433403805497,92.8,
019157.OF,易方达全球配置美元现汇A,混合型,混合型-偏股,4.25,7.81,17.76,14.24,9.28,1.11,444,129.0,97.5469528555002,216.0,95.88595484117872,90.1,
019155.OF,易方达全球配置A,混合型,混合型-偏股,3.54,6.22,15.21,14.24,8.91,0.93,444,192.0,96.3395937140667,328.0,93.74282433983927,86.2,
019156.OF,易方达全球配置C,混合型,混合型-偏股,3.49,6.14,15.09,14.22,8.93,0.92,444,193.0,96.32042928325029,336.0,93.58974358974359,85.9,
019158.OF,易方达全球配置美元现汇C,混合型,混合型-偏股,4.16,7.7,17.59,14.25,9.28,1.09,444,135.0,97.43196627060176,220.0,95.80941446613089,89.7,
019184.OF,大成趋势回报C,灵活配置型,混合型-平衡,2.72,8.41,17.04,10.06,8.72,1.49,455,18.0,96.40591966173362,30.0,93.86892177589851,93.8,
018039.OF,富国融裕两年持有C,混合型,混合型-偏股,3.73,7.1,21.27,14.1,13.07,1.37,455,154.0,97.06784208509008,119.0,97.74205893608878,89.2,
019205.OF,鹏华优质企业C,混合型,混合型-偏股,5.79,8.47,33.37,19.85,12.82,1.58,455,101.0,98.08355691835953,14.0,99.75124378109453,93.6,
018038.OF,富国融裕两年持有A,混合型,混合型-偏股,3.77,7.15,21.37,14.11,13.05,1.37,455,151.0,97.12533537753929,118.0,97.76119402985076,89.3,
019194.OF,融通产业趋势精选C,混合型,混合型-偏股,3.27,5.46,24.73,19.01,15.77,1.2,454,235.0,95.51552318896128,77.0,98.54573287409109,85.3,
018919.OF,华夏清洁能源龙头C,混合型,混合型-偏股,12.91,15.97,38.98,22.49,15.71,1.64,455,25.0,99.54005366040629,6.0,99.9043245311902,90.9,
018918.OF,华夏清洁能源龙头A,混合型,混合型-偏股,12.94,16.04,39.14,22.5,15.66,1.65,455,24.0,99.55921809122269,5.0,99.92345962495216,91.0,
018194.OF,建信新材料精选A,股票型,主动股票型,2.03,4.32,18.68,15.51,13.8,1.08,455,44.0,92.56055363321799,36.0,93.9446366782007,83.8,
018195.OF,建信新材料精选C,股票型,主动股票型,2.0,4.27,18.59,15.5,13.81,1.07,455,45.0,92.38754325259515,38.0,93.59861591695503,83.6,
018553.OF,景顺长城中小盘C,混合型,混合型-偏股,4.74,7.94,19.55,15.24,13.61,1.15,455,123.0,97.66193944039861,157.0,97.01492537313433,85.5,
018656.OF,新华行业周期轮换C,混合型,混合型-偏股,3.68,6.44,33.48,20.51,13.29,1.54,455,184.0,96.49290916059793,13.0,99.77037887485649,92.6,
018440.OF,汇添富量化选股A,混合型,混合型-偏股,1.49,1.71,14.48,10.91,9.86,1.14,455,749.0,85.66500574932925,394.0,92.47990815154994,87.6,
018441.OF,汇添富量化选股C,混合型,混合型-偏股,1.45,1.65,14.36,10.9,9.89,1.13,455,763.0,85.39670371789958,401.0,92.34596249521623,87.4,
018546.OF,国投瑞银瑞盈C,灵活配置型,混合型-平衡,2.56,5.03,14.91,12.94,12.27,1.0,455,34.0,93.02325581395348,44.0,90.9090909090909,83.0,
018544.OF,国投瑞银美丽中国C,灵活配置型,混合型-平衡,2.87,7.0,16.38,13.13,11.11,1.1,455,21.0,95.77167019027483,34.0,93.02325581395348,86.5,
018460.OF,大成新锐产业C,混合型,混合型-偏股,6.42,9.27,30.75,18.33,13.55,1.57,455,75.0,98.58183211958604,24.0,99.55989284347493,93.0,
017668.OF,鹏华新材料C,混合型,混合型-偏股,3.39,3.26,22.26,14.32,9.64,1.41,455,449.0,91.41433499425067,102.0,98.0673555300421,93.8,
017667.OF,鹏华新材料A,混合型,混合型-偏股,3.43,3.32,22.4,14.32,9.6,1.42,455,442.0,91.5484860099655,100.0,98.10562571756601,93.9,
015985.OF,金鹰碳中和C,混合型,混合型-偏股,9.19,12.09,24.4,17.78,13.11,1.26,450,48.0,99.09927175162898,81.0,98.46919249904325,89.3,
015984.OF,金鹰碳中和A,混合型,混合型-偏股,9.19,12.11,24.47,17.96,13.78,1.25,450,47.0,99.11843618244538,80.0,98.4883275928052,88.3,
017885.OF,长城久润C,灵活配置型,混合型-平衡,5.47,7.12,24.6,16.45,12.47,1.37,455,20.0,95.9830866807611,11.0,97.88583509513742,91.4,
017458.OF,长城创新驱动C,混合型,混合型-偏股,6.05,1.24,26.14,21.45,17.08,1.13,455,909.0,82.59869681870448,54.0,98.98584003061615,82.8,
017167.OF,景顺长城策略精选C,灵活配置型,混合型-平衡,3.58,5.89,16.9,14.78,13.23,1.01,455,25.0,94.9260042283298,32.0,93.44608879492601,83.1,
016676.OF,南方君誉A,混合型,混合型-偏股,5.32,5.79,14.95,11.89,11.37,1.09,455,213.0,95.93714066692219,353.0,93.26444699579028,85.4,
016677.OF,南方君誉C,混合型,混合型-偏股,5.29,5.72,14.81,11.88,11.39,1.08,455,218.0,95.84131851284016,366.0,93.01569077688481,85.2,
017090.OF,景顺长城能源基建C,混合型,混合型-偏股,1.52,5.98,14.38,12.72,8.31,0.97,455,199.0,96.20544269835186,398.0,92.40336777650211,86.9,
016617.OF,国泰价值优选灵活配置C,灵活配置型,混合型-平衡,6.84,10.53,25.8,14.39,11.89,1.65,455,8.0,98.5200845665962,9.0,98.30866807610994,94.8,
016562.OF,鹏华精选成长C,混合型,混合型-偏股,3.43,7.08,14.28,14.11,11.2,0.87,455,155.0,97.04867765427366,404.0,92.28855721393035,81.7,
016022.OF,华安优嘉精选C,混合型,混合型-偏股,3.29,4.07,14.97,14.47,11.34,0.9,455,340.0,93.5032579532388,351.0,93.3027171833142,82.6,
016021.OF,华安优嘉精选A,混合型,混合型-偏股,3.31,4.12,15.09,14.48,11.31,0.9,455,331.0,93.67573783058644,335.0,93.60887868350555,82.7,
016520.OF,中银稳进策略C,灵活配置型,混合型-平衡,3.34,4.53,23.07,19.22,12.89,1.1,455,40.0,91.75475687103594,12.0,97.67441860465115,87.4,
016183.OF,华安安华C,灵活配置型,混合型-平衡,1.88,3.04,20.21,16.19,14.16,1.12,455,64.0,86.68076109936575,18.0,96.40591966173362,84.7,
015770.OF,天弘低碳经济C,混合型,混合型-偏股,4.2,2.36,16.72,14.92,12.89,0.99,454,596.0,88.59716366423918,250.0,95.2353616532721,83.4,
015769.OF,天弘低碳经济A,混合型,混合型-偏股,4.23,2.41,16.82,14.92,12.88,0.99,454,588.0,88.75047911077041,243.0,95.36930730960582,83.5,
